"longitude","latitude","id_cells","period","sampling_effort","periods"
-78.816948,35.64893,1019,"present",32,2
-78.815742,42.985474,1618,"present",2,2
-78.813835,35.7294,1019,"present",2,2
-78.813835,35.729401,1019,"present",6,2
-78.809837,43.092091,1618,"present",12,2
-78.79,35.8884,1019,"present",47,2
-78.788826,35.814579,1019,"present",1,2
-78.78649,42.9729,1618,"present",1,2
-78.78315,42.9838370000001,1618,"present",4,2
-78.78306,43.008286,1618,"present",2,2
-78.783058,43.008286,1618,"present",12,2
-78.775703,41.962345,1533,"present",2,2
-78.741798,42.985283,1618,"present",1,2
-78.7378091,42.963947,1618,"past",4,1
-78.7378,42.96395,1618,"past",1,1
-78.73083,42.679935,1619,"present",1,2
-78.730827,42.679935,1619,"present",2,2
-78.72794,38.87369,1276,"present",3,2
-78.72683,43.090122,1618,"present",1,2
-78.72474,35.890156,1019,"present",1,2
-78.72455,35.890587,1019,"present",2,2
-78.722656,35.889854,1019,"present",2,2
-78.720772,35.899311,1019,"present",2,2
-78.713982,35.811588,1019,"present",39,2
-78.71398,35.81159,1019,"present",2,2
-78.71368,42.743504,1619,"present",2,2
-78.710281,35.886166,1019,"present",1,2
-78.709969,35.885155,1019,"present",1,2
-78.709885,35.914932,1019,"present",2,2
-78.707611,36.19149,1062,"present",6,2
-78.703041,35.867481,1019,"present",1,2
-78.689934,35.798145,1019,"present",4,2
-78.68914,35.79924,1019,"present",4,2
-78.688995,35.796909,1019,"present",2,2
-78.6884,35.799,1019,"present",2,2
-78.68824,35.799301,1019,"present",2,2
-78.688179,35.79995,1019,"present",6,2
-78.688103,35.796516,1019,"present",2,2
-78.687859,35.797493,1019,"present",4,2
-78.685806,43.087646,1619,"present",1,2
-78.66059,41.8601,1533,"present",6,2
-78.645378,35.827705,1019,"present",2,2
-78.63862,35.772095,1019,"present",1,2
-78.6317,36.60431,1062,"past",1,1
-78.6316691,36.6043073,1062,"past",25,1
-78.619591,42.763412,1619,"present",8,2
-78.61151,39.3562799999999,1319,"present",3,2
-78.5978,39.0751,1276,"past",1,1
-78.555893,35.873081,1019,"present",2,2
-78.55134,35.848007,1019,"present",2,2
-78.48938,43.23539,1662,"present",4,2
-78.440117,38.518478,1234,"present",6,2
-78.435921,38.123089,1234,"present",1,2
-78.3889024,40.4272949,1405,"past",35,1
-78.3889,40.4273,1405,"past",2,1
-78.388351,38.190468,1234,"present",1,2
-78.384766,40.005478,1362,"present",16,2
-78.381111,40.4496,1405,"present",1,2
-78.37393,40.32136,1405,"present",4,2
-78.2704,41.9688,1534,"past",1,1
-78.2703951,41.9687597,1534,"past",16,1
-78.2578085,38.3797964,1234,"past",14,1
-78.2578,38.3798,1234,"past",1,1
-78.21824,38.30132,1234,"present",13,2
